listing_name,city,country,price_raw,property_type,guests,bedrooms,beds,baths,host_name,is_superhost,is_guest_favorite,rating,reviews,scrape_date,url
Typical Dutch House with Funky Design Interior,Amsterdam,Netherlands,,Entire home,4.0,2.0,2.0,1.5,Fleur,1,0,4.62,29,2026-07-07,https://www.airbnb.com/rooms/39630683?search_mode=regular_search&adults=1&check_in=2026-07-25&check_out=2026-07-30&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3PjOizZUro3C258&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
The Attic Garden,Amsterdam,Netherlands,,Entire rental unit,6.0,2.0,2.0,1.0,FrancescaNew HostListing highl,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1720290995080729062?search_mode=regular_search&adults=1&check_in=2026-09-21&check_out=2026-09-26&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P31FNWTYVTtyR1_F&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Numa | 2 Bedroom Apartment in Amsterdam East,Amsterdam,Netherlands,,Entire serviced apartment,4.0,2.0,3.0,1.0,YAYS Amsterdam East By Numa,1,0,4.56,205,2026-07-07,https://www.airbnb.com/rooms/1113044804402014015?search_mode=regular_search&adults=1&check_in=2026-07-31&check_out=2026-08-05&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3STh9JSIK1zZ05Z&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Beautiful houseboat on the outskirts of Amsterdam,Amsterdam,Netherlands,€25.00,Entire home/apt,7.0,4.0,5.0,1.0,MatthijsNew HostListing highli,1,0,,,2026-07-07,https://www.airbnb.com/rooms/957116576473186253?search_mode=regular_search&adults=1&check_in=2026-07-10&check_out=2026-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3wnH3D3vNkTP8H3&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Authentic bright Water Villa @ old city canal.,Amsterdam,Netherlands,,Entire home/apt,4.0,3.0,5.0,1.0,HancoSuperhost,1,0,4.94,115,2026-07-07,https://www.airbnb.com/rooms/15152694?search_mode=regular_search&adults=1&check_in=2026-10-29&check_out=2026-11-03&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P38-4nEYszyv2WgB&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Luxury apartment. Prime location,Amsterdam,Netherlands,,Entire rental unit,4.0,2.0,2.0,1.5,RomanSuperhost,1,1,4.98,98441,2026-07-07,https://www.airbnb.com/rooms/3722301?search_mode=regular_search&adults=1&check_in=2026-11-01&check_out=2026-11-06&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3pqrUmbjzfhYSte&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Wijnkopershuis Hendricksz - 17th century house,Amsterdam,Netherlands,,Entire rental unit,4.0,2.0,2.0,1.0,RubenSuperhost,1,1,4.98,98135,2026-07-07,https://www.airbnb.com/rooms/1145593499716996986?search_mode=regular_search&adults=1&check_in=2026-08-09&check_out=2026-08-14&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3gB5XTbmlD6O1j4&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Stylish Riverfront Apartment with Stunning Views,Amsterdam,Netherlands,,Entire rental unit,5.0,2.0,3.0,1.0,EricSuperhost,1,0,4.73,250,2026-07-07,https://www.airbnb.com/rooms/953539337193788533?search_mode=regular_search&adults=1&check_in=2026-08-03&check_out=2026-08-08&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3ybk03atVB6IVEe&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Two rooms completely private in Bohemian ‘De Pijp',Amsterdam,Netherlands,,Entire condo,3.0,2.0,3.0,1.0,ReinierSuperhost,1,1,4.89,89320,2026-07-07,https://www.airbnb.com/rooms/40191258?search_mode=regular_search&adults=1&check_in=2026-07-25&check_out=2026-07-30&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P31L5szcj_V4jqZf&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Amstel Imperial,Amsterdam,Netherlands,,Entire rental unit,4.0,2.0,3.0,1.5,RaulSuperhost,1,1,4.92,92609,2026-07-07,https://www.airbnb.com/rooms/18059130?search_mode=regular_search&adults=1&check_in=2026-07-25&check_out=2026-07-30&children=0&infants=0&pets=0&source_impression_id=p3_1783432367_P3Jc3SFPW9e27JaL&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
"Amazing Canal Penthouse, Stunning views",Amsterdam,Netherlands,€40,Entire rental unit,4.0,2.0,3.0,1.0,LoraSuperhost,1,1,4.8,8707,2026-07-07,https://www.airbnb.com/rooms/13952479?search_mode=regular_search&adults=1&check_in=2026-08-30&check_out=2026-09-04&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3oqhfVI-Zow8jKN&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
Cozy chalet near Amsterdam and Utrecht with air conditioning,Amsterdam,Netherlands,€15,Entire chalet,4.0,2.0,3.0,1.5,NathalieSuperhost,1,1,4.9,921,2026-07-07,https://www.airbnb.com/rooms/1146501613313371127?search_mode=regular_search&adults=1&check_in=2026-08-11&check_out=2026-08-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P38mtD6ZtFbUlJiL&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
